DONE

Here is the complete listing of files found in the `/home/user/Desktop/students work/` folder:

| # | Filename | Size (bytes) |
|---|----------|-------------|
| 1 | `case study.docx` | 16,470 |
| 2 | `cassie.docx` | 285,893 |
| 3 | `Photo Ethics in Journalism.docx` | 76,468 |
| 4 | `Q1&2&3.docx` | 170,816 |
| 5 | `quiz2.docx` | 14,888 |
| 6 | `quiz.docx` | 466,557 |
| 7 | `The British Justice System.docx` | 15,153 |
| 8 | `The literature reviews of weekly readings.docx` | 17,954 |
| 9 | `Zheng He .docx` | 22,443 |

All 9 files are `.docx` format, owned by user `user`, dated Apr 23 19:05. The folder path with a space (`students work`) was the correct one. The file of interest for the original task is **`case study.docx`** (16,470 bytes) located at `/home/user/Desktop/students work/case study.docx`.
