

The Excel file has been successfully created and verified. Here's the complete summary:

**File: `/home/user/Desktop/GRF-p5y.xlsx`**

**9 Sheets**: CityU, HKBU, LU, CUHK, EdUHK, PolyU, HKUST, HKU, Total

Each sheet has headers: `Year`, `#Applied`, `#Supported`, `Success Rate`

**Data verified for all sheets:**

| Sheet | 2019 | 2020 | 2021 | 2022 | 2023 |
|-------|------|------|------|------|------|
| **CityU** | 41/10=24.39% | 34/14=41.18% | 42/8=19.05% | 40/13=32.50% | 37/14=37.84% |
| **HKBU** | 13/5=38.46% | 13/4=30.77% | 15/4=26.67% | 14/5=35.71% | 17/3=17.65% |
| **LU** | 0/0=0.00% | 2/0=0.00% | 2/0=0.00% | 2/0=0.00% | 2/0=0.00% |
| **CUHK** | (visible in scrollback) | | | | |
| **EdUHK** | 2/1=50.00% | 1/0=0.00% | 1/0=0.00% | 1/0=0.00% | 1/0=0.00% |
| **PolyU** | 30/14=46.67% | 29/11=37.93% | 35/15=42.86% | 49/14=28.57% | 52/17=32.69% |
| **HKUST** | 42/13=30.95% | 41/15=36.59% | 42/14=33.33% | 34/12=35.29% | 39/14=35.90% |
| **HKU** | 25/7=28.00% | 17/7=41.18% | 23/7=30.43% | 23/9=39.13% | 20/5=25.00% |
| **Total** | 196/64=32.65% | 179/67=37.43% | 197/65=32.99% | 205/66=32.20% | 206/64=31.07% |

DONE — Successfully recreated `/home/user/Desktop/GRF-p5y.xlsx` with one sheet per university (CityU, HKBU, LU, CUHK, EdUHK, PolyU, HKUST, HKU, Total). Each sheet contains headers "Year", "#Applied", "#Supported", "Success Rate" with CS department GRF application data for 2019-2023, with success rates formatted as percentages with 2 decimal places.
