The calculation is complete. The results show:

| Book | Words | Days | Words/Day |
|------|-------|------|-----------|
| Fire and Blood | 249322 | 44 | 5666.41 |
| Song of Solomon | 96041 | 48 | 2000.85 |
| The Lost Symbol | 151532 | 66 | 2295.94 |
| 2001: A Space Odyssey | 56119 | 23 | 2439.96 |
| American Gods | 178778 | 50 | 3575.57 |
| Out of the Silent Planet | 52159 | 36 | 1448.86 |
| The Andromeda Strain | 65358 | 30 | 2178.60 |
| Brave New World | 37909 | 19 | 1995.19 |
| Silence | 71901 | 33 | 2178.83 |
| The Shining | 168823 | 6 | 28137.17 |

**The slowest reading pace is "Out of the Silent Planet" at 1448.86 words/day.**

Now I need to write this title into the `book_list_result.docx` file on the desktop. Let me do that:
